brand,type,price,available,sold,target
361,28,34.99,9.0,110.0,0
361,58,14.5,5.0,17.0,0
169,28,14.95,10.0,17.0,0
211,28,42.99,2.0,4.0,0
279,71,100.99,10.0,15.0,0
47,28,49.99,4.0,38.0,0
362,28,9.99,10.0,10.0,0
122,28,28.15,10.0,123.0,0
226,40,14.74,117.0,889.0,0
26,28,29.99,10.0,29.0,0
210,28,35.99,10.0,161.0,0
148,28,49.99,10.0,230.0,0
290,40,19.05,8.0,42.0,0
26,28,29.54,10.0,1372.0,0
65,78,47.8,10.0,38.0,0
79,28,13.95,10.0,57.0,0
19,56,59.99,10.0,243.0,0
361,28,43.0,3.0,27.0,0
146,40,22.51,189.0,3319.0,0
357,40,9.92,10.0,5971.0,0
148,40,47.65,10.0,5349.0,0
187,25,86.99,7.0,9.0,0
82,28,41.58,174.0,298.0,0
56,28,16.87,36.0,626.0,0
153,39,59.4,50.0,120.0,0
298,28,43.99,2.0,121.0,0
332,28,69.99,4.0,7.0,0
68,28,12.99,10.0,32.0,0
192,28,11.66,2.0,12.0,0
192,78,43.15,10.0,561.0,0
357,40,32.99,6.0,79.0,0
114,40,15.8,72.0,2499.0,0
290,40,15.0,5.0,5.0,0
114,28,17.52,10.0,1692.0,0
26,28,38.99,8.0,108.0,0
272,40,19.83,22.0,1652.0,0
361,28,17.49,17.0,292.0,0
112,28,19.12,3.0,42.0,0
27,28,30.9,3.0,607.0,0
217,28,13.89,5.0,52.0,0
40,28,12.74,10.0,13.0,0
128,78,48.0,4.0,1.0,0
64,28,26.66,10.0,17854.0,0
272,40,33.34,8.0,3466.0,0
339,28,12.0,4.0,6.0,0
64,40,17.57,62.0,83.0,0
113,40,20.0,15.0,25.0,0
212,28,19.99,3.0,3.0,0
355,28,55.99,10.0,131.0,0
369,28,38.68,10.0,14.0,0
280,40,14.45,9.0,349.0,0
197,28,15.88,10.0,103.0,0
79,28,32.13,10.0,3215.0,0
358,28,18.99,21.0,1396.0,0
260,28,9.95,4.0,135.0,0
99,40,20.0,10.0,26.0,0
356,38,25.25,71.0,15897.0,0
17,40,22.25,51.0,2048.0,0
95,28,21.99,3.0,83.0,0
357,28,63.99,10.0,152.0,0
211,28,39.95,10.0,60.0,0
35,28,49.99,10.0,4.0,0
349,28,15.77,300.0,67.0,0
148,28,41.99,10.0,166.0,0
187,25,17.0,5.0,968.0,0
182,28,18.99,73.0,886.0,0
361,28,30.99,10.0,91.0,0
369,28,49.99,5.0,25.0,0
131,93,44.99,10.0,2.0,0
65,28,55.99,5.0,80.0,0
148,40,41.99,10.0,39.0,0
282,28,24.5,10.0,20.0,0
290,28,38.99,10.0,103.0,0
153,28,12.49,10.0,28.0,0
196,24,14.4,5.0,73.0,0
153,28,69.99,8.0,53.0,0
264,28,44.99,8.0,21.0,0
264,28,63.0,10.0,4.0,0
361,28,30.99,6.0,130.0,0
325,86,12.99,10.0,49.0,0
10,28,25.99,10.0,12.0,0
35,40,23.99,10.0,4.0,0
339,88,25.0,5.0,79.0,0
146,40,15.42,114.0,7773.0,0
214,28,28.89,10.0,45.0,0
26,28,33.59,9.0,559.0,0
131,93,64.99,10.0,5.0,0
361,62,11.88,10.0,47.0,0
211,28,43.99,6.0,52.0,0
287,40,25.66,33.0,6077.0,0
33,49,59.99,10.0,20.0,0
211,28,52.99,10.0,287.0,0
65,28,89.99,10.0,107.0,0
175,40,26.35,127.0,984.0,0
187,25,79.99,5.0,5.0,0
68,28,118.99,6.0,36.0,0
131,93,64.99,10.0,5.0,0
8,28,41.5,4.0,17.0,0
211,28,7.95,10.0,162.0,0
346,28,24.98,234.0,888.0,0
335,39,64.54,29.0,68.0,0
214,65,34.77,3.0,9.0,0
369,40,29.99,10.0,21.0,0
26,28,29.99,9.0,14.0,0
362,78,52.99,6.0,30.0,0
212,39,24.79,70.0,757.0,0
246,28,269.0,10.0,59.0,0
329,28,5.5,10.0,540.0,0
165,28,64.99,10.0,123.0,0
153,71,29.99,6.0,5.0,0
275,28,50.73,105.0,1905.0,0
113,40,26.33,10.0,2250.0,0
357,40,46.44,10.0,2838.0,0
303,40,43.98,7.0,12.0,0
198,28,23.97,117.0,920.0,0
273,62,44.95,2.0,4.0,0
101,40,32.49,6.0,88.0,0
211,28,14.99,10.0,256.0,0
120,40,29.26,23.0,392.0,0
335,78,36.99,10.0,70.0,0
27,39,19.1,44.0,373.0,0
175,40,19.39,33.0,651.0,0
153,28,31.0,3.0,112.0,0
113,28,23.42,110.0,536.0,0
113,40,15.31,331.0,1927.0,0
35,28,52.99,8.0,8.0,0
86,28,174.99,9.0,14.0,0
61,28,69.99,3.0,34.0,0
202,28,99.99,10.0,20.0,0
231,28,23.99,10.0,0.0,0
3,40,50.0,2.0,14.0,0
90,25,15.25,10.0,104.0,0
211,28,43.99,10.0,40.0,0
185,40,34.43,16.0,563.0,0
260,28,37.88,8.0,8.0,0
165,40,49.99,10.0,35.0,0
122,28,42.04,413.0,413.0,0
